ngram,freq
the,13616383631
of,7326553569
and,6741856038
to,5823525350
a,4654134702
in,4475443275
that,2459476338
is,2168689816
for,1971619618
I,1914539339
it,1783994211
was,1764069688
as,1651543238
not,1624805797
with,1590588927
he,1521191359
on,1442418052
you,1307005747
be,1240994095
his,1130561654
this,1084496580
by,1056606781
or,1008603246
are,1006418825
at,1002451373
her,988880596
from,967857590
she,922777784
had,858440610
but,848791190
have,820638813
an,769975875
they,748364045
we,710875482
were,597215417
one,596212964
all,594197086
can,579289804
which,577029046
their,566026432
my,553290590
if,510915608
what,505706878
do,495367225
there,489663149
when,484806452
would,478473962
him,467938122
so,462617198
more,448238722
me,442129639
will,435344816
been,420262765
out,417163658
up,410234657
about,407857983
who,399030325
has,398615425
no,398416653
into,382387143
time,372268216
other,370294681
them,365294066
your,362140786
said,352354644
could,351728819
did,322931387
then,322124711
some,321151402
these,316340147
also,315542941
like,311468514
than,309024058
its,300262869
may,299112430
only,297499522
see,296968015
new,286904042
how,277296801
two,275684730
such,269277836
over,260515853
our,251583413
first,249050473
any,244766359
just,240252378
after,238051481
back,231228476
now,229279794
through,226006723
even,220429304
people,218042740
where,216182639
well,214750058
most,212510854
between,211520885
way,208853778
because,208525242
know,201623284
should,201028382
before,195613426
many,187001406
down,186779798
very,182420392
made,181665499
life,179737585
work,176469622
those,175938742
us,171565362
here,170333092
get,169830190
use,167961291
make,167716439
being,167353020
good,166743101
much,166680223
each,166548951
both,164031840
man,163073964
right,160145452
while,158805440
used,157100373
world,150971568
same,149435329
must,147539331
long,146293935
go,144829920
years,143354478
still,142757170
day,140899689
own,140885831
does,139839719
too,137947003
under,137760821
take,137706841
another,133839860
part,133520053
state,132295563
little,130992569
however,130826567
off,130313425
three,129394696
around,129304406
think,128792255
need,127306503
never,126834630
come,125498246
might,125118007
different,124796905
again,124520067
al,122710059
without,119814733
God,119734712
system,118641588
et,118455469
going,116905375
want,116580144
hand,116274253
social,116103806
during,114715423
place,114661684
thought,113710748
against,112836204
something,112668802
found,112404428
high,112339592
case,111422675
say,110402823
why,109966993
away,109708339
information,109064896
head,105568427
within,105385734
let,105241131
eyes,104629947
number,104468828
left,104380109
old,102598838
every,102411425
great,101924584
example,101280654
since,100344089
data,99332939
came,98912554
men,98889063
set,97993635
look,97779435
children,97221557
water,96584645
university,96151296
few,95849580
face,95375550
research,95151315
chapter,94917433
small,94884490
things,94425671
year,93359922
based,93316468
find,92967527
end,92934494
human,92679807
last,92548551
home,92492742
always,92441144
power,92097599
asked,91812422
figure,91672990
often,91562368
order,91383770
family,91303364
important,90853618
using,90545902
women,90486266
process,90192264
house,89922349
point,89889042
though,89551966
law,89520253
took,89281843
states,89086807
called,89018208
looked,89004916
second,88243587
public,88170152
given,88025492
got,87585269
help,87501643
once,87142774
body,86934784
until,85777603
change,84960455
put,84213354
development,83989360
went,83928309
room,83890561
group,83528617
next,82984738
general,81421677
love,81368507
am,80306174
form,79829494
side,79632693
following,79393854
give,79350650
de,79087328
large,78957594
less,78652157
told,78535533
better,78390590
knew,78264877
yet,78050303
table,77933095
control,77506793
upon,77436989
later,77060190
study,76763202
others,76742645
himself,76205298
school,75891002
press,75721475
war,75714706
rather,75136838
best,74833545
government,74514672
book,74111001
American,73470766
person,73462732
business,73396506
nothing,73326046
tell,72953158
fact,72579671
mind,72477729
although,72340860
really,72225606
level,71978681
early,71897700
father,71867738
national,71839390
political,71775032
name,71557666
shall,71535709
thus,71110000
felt,70952123
words,70883660
enough,70720089
among,70518104
seen,70451565
far,70205158
course,70201216
night,70137350
health,69548964
history,69515740
making,69499667
together,69186653
open,69023673
times,68957841
possible,68763233
door,68489859
value,68454513
mother,67745410
young,67582639
several,67403927
model,67069009
self,67039445
light,66839342
four,66654286
days,66641662
care,66636725
become,66632726
thing,66525318
having,66430026
saw,65939765
ever,65885462
least,65358938
whether,65332489
international,65313897
white,65214509
woman,64897667
section,64845625
sure,64775351
wanted,64652701
means,64581667
turned,64580535
including,64303341
already,63039352
done,63018806
along,62922576
whole,62669305
across,62164510
