ngram,freq
",",943143725
.,696564591
«,102547760
»,100793068
"""",83763757
),78337761
:,69647169
(,69005481
--,57871713
?,52636988
;,48095220
',39357598
...,25295111
!,24261849
-,20899671
n,18088104
l,17591925
1,16437265
2,11608754
/,10896327
3,8367682
],7663259
[,7592182
4,6437898
p,6158855
the,5979572
5,5466643
d,5237818
`,5178160
c,4383888
6,4257492
of,4205764
•,3854315
%,3722508
7,3535752
cit,3461346
b,3422833
10,3399866
and,3325706
Roma,3267230
Milano,3219146
8,3205594
_,3182409
pp,3076025
9,2854368
s,2801385
art.,2690060
Cass,2613803
12,2577890
c.c.,2570470
II,2566521
L.,2561876
15,2408760
v,2408074
11,2341545
ss,2284389
20,2191041
30,2171590
13,2146899
°,2078410
14,2073199
18,1997812
16,1939289
cfr.,1888291
24,1830969
A.,1820502
17,1786518
to,1780973
G.,1765522
2010,1745957
2008,1724080
2009,1714604
19,1699566
2006,1694926
23,1654593
25,1646795
=,1643062
san,1623574
22,1621232
M.,1619906
21,1602684
g,1592890
m,1569428
III,1568296
t,1559359
2007,1550804
2011,1544264
28,1504579
2005,1487666
2012,1474618
*,1465285
27,1446543
DI,1437633
S.,1401289
26,1397266
c.p.c.,1385142
2000,1339948
2001,1329539
2003,1325380
Torino,1311913
Maria,1310759
2004,1305691
31,1304427
29,1296868
it,1291923
Giovanni,1260286
C.,1222384
r,1221146
f,1167942
civ,1164325
v.,1132261
p.,1125722
2013,1122321
2002,1089659
50,1088740
Europa,1083551
1999,1066510
c.p.p.,1062907
F.,1034144
IV,1031274
1998,1006498
Gesù,992242
itr,970209
cfr,967757
2014,963981
igd,960420
Napoli,947840
1997,930137
York,920537
Francesco,907812
Francia,907199
40,905101
Cristo,904523
R.,898852
c.p.,896790
Paolo,896292
&,878621
€,877571
Marco,862347
x,855074
E.,842205
|,837535
John,833940
Firenze,827918
for,826855
2015,817017
Carlo,814627
1992,803555
Antonio,781045
Anna,775158
Parigi,774633
1995,769448
1993,766009
1990,764895
Pietro,764425
1996,757832
100,757792
Londra,757087
fig.,748344
VI,747092
Giuseppe,743612
1994,738523
35,728045
d.lgs,727180
Bologna,720273
..,713799
dir,709043
D.,705128
op,702568
32,694284
h,691373
60,690952
33,689079
No.,688060
0,677927
1991,665851
+,657082
<<,645537
36,645375
§,645237
Cass.,643477
LA,638772
D.L.,635281
Sì.,631263
IL,628533
is,626727
u,617633
d.P.R.,616291
34,615745
Jack,608191
$,607852
>>,607712
Venezia,605219
2016,604942
J.,599368
Andrea,594711
38,590371
Luca,588396
D.Lgs,586963
45,582606
David,578815
37,575881
D.L.vo,575527
en,574803
39,571194
Luigi,553667
der,552119
70,545980
80,545098
c.d.,544317
und,543857
n.,543043
do,538127
sin,535647
B.,531898
el,524343
es,522830
1988,522632
y,521320
41,521175
>,520824
42,513426
90,513121
Israele,512221
America,510075
Cost.,507758
that,506994
du,506392
1989,504601
43,503548
44,489178
51,487694
Mario,484209
que,483965
47,478345
1986,475800
Alex,472796
Dio.,464693
James,462873
with,460325
Paul,459889
DEL,459366
48,454728
Cesare,452499
die,447517
46,438278
Alessandro,437039
Trib.,431290
<,430954
Riv,429131
by,427320
man,424933
I.,421792
Padova,421624
as,420674
55,420458
à,419523
at,418125
Giorgio,416531
1981,415081
Tom,412705
49,411670
1985,411190
Robert,410211
2017,406929
1987,404840
52,403531
Sicilia,402789
Sam,398527
é,397959
George,397584
Peter,397379
....,389663
University,388349
1982,387474
cm,386919
Mary,386219
53,384050
Matteo,382934
Michael,380062
Press,379306
Laura,378669
Richard,378353
1973,377903
54,377693
Lorenzo,376625
you,373626
200,373521
©,372454
VII,370329
69,369036
1984,365660
1983,361792
1975,361130
59,360899
Ehi,360313
1978,359755
Emma,359324
will,358724
Roberto,358226
Paris,357631
Thomas,357109
Michele,355830
75,355779
58,355328
1972,354497
Stefano,352883
Max,348329
j,348131
56,347818
Enrico,347188
1980,346669
T.,345928
65,345721
William,344274
CAPITOLO,344241
Bari,343381
DELLA,342540
150,341970
PER,339690
Alice,339169
Filippo,338821
68,338771
,337510
Giulia,337473
von,337471
a.C.,337174
Miss,337103
Palermo,337102
not,336649
81,336251
Henry,334557
km,333676
pag,332751
sir,332521
67,332042
Alberto,331394
from,329310
Elena,326865
Jean,326178
na,325870
61,324931
Sara,324322
Dante,324230
57,323399
Russia,322131
he,322025
@,320910
z,318937
Charles,318909
cod,318606
cost,318598
1979,317673
Giacomo,317321
62,315732
72,314576
66,314472
64,314461
º,311890
IN,310313
63,307929
Genova,307599
London,307485
Harry,306915
H.,305541
VIII,304178
Daniel,302504
ISBN,300781
1977,300519
74,300287
Giulio,299461
·,299314
78,298538
Davide,297727
1970,297083
Gerusalemme,294019
73,292433
Martin,291769
att,290687
92,290208
83,289630
Simon,284675
Nick,284520
Adam,284387
120,284279
Kate,284094
q,282997
Sarah,281809
Federico,280755
Gazzetta,280221
300,278663
his,278344
Ebbene,276089
IX,275610
1974,273579
Jane,272706
95,272594
k,272294
was,272089
1976,271327
los,269826
Vittorio,268566
85,267822
Francesca,267801
500,267379
Hitler,266905
trad,266725
71,266724
***,266210
Mark,265993
Egitto,264796
XII,264338
98,264240
Holmes,263920
1971,263132
IVA,262696
Mr,262191
{,260392
600,259914
up,258928
97,258768
Street,258743
Africa,257330
Joe,256970
99,256028
law,254787
Einaudi,253902
d.l.,253530
111,253063
82,252900
77,252512
are,251938
1968,251097
Mussolini,251035
76,250773
Leo,250451
96,250399
Iddio,249389
},249149
men,248268
#,247895
Berlino,247709
Dir.,246626
XVI,245308
my,245104
1969,244711
Beh,244573
Nicola,243519
Emily,243115
79,241136
91,240338
86,240080
89,240039
Frank,240018
Tommaso,238736
Novecento,238671
1967,238460
Leonardo,237176
93,236932
