ngram,freq
אדוני היושב -- ראש,81352
"היו""ר ד ' תיכון",24363
"היו""ר ד ' שילנסקי",23003
הלאומי -- ישראל ביתנו,21227
האיחוד הלאומי -- ישראל,21201
"היו""ר ש ' וייס",19203
ראובן ריבלין ( הליכוד,17825
"י ז "" ל",16619
גברתי היושבת -- ראש,14845
הצעות לסדר -- היום,14455
דן תיכון ( הליכוד,14174
"היו""ר ע ' עלי",13717
היו -- ר ראובן,12655
"היו""ר נ ' חזן",12506
"ראש , חברי חברי",12166
"ראש , חברי הכנסת",11976
או או או או,11464
"נסים זאב ( ש""ס",11298
"היו""ר ד ' טל",11059
אופיר פינס -- פז,10985
"א ז "" ל",10810
חיים אורון ( מרצ,10802
"רש "" י ז",10680
"היו""ר א ' סלמוביץ",10508
"היו""ר י ' עזרן",10499
"היו""ר ר ' אדרי",9627
ההצעה להעביר את הצעת,9531
משה גפני ( יהדות,9342
רוני בר -- און,9238
גפני ( יהדות התורה,9091
"של הרמב "" ם",8968
של בן -- גוריון,8884
"האיחוד הלאומי -- מפד""ל",8779
"החוקה , חוק ומשפט",8636
אחריו -- חבר הכנסת,8617
אלי בן -- מנחם,8546
"שאמרו חז "" ל",8534
הצעה לסדר -- היום,8527
הצעת חוק לתיקון פקודת,8479
בעד ההצעה להעביר את,8335
תודה רבה לחבר הכנסת,8306
"הרה "" ק רבי",8228
יולי -- יואל אדלשטיין,8193
"חברי הכנסת , אני",8098
"ם ז "" ל",8087
בית -- המשפט העליון,7992
העבודה ) : אדוני,7967
הנדל ( האיחוד הלאומי,7922
"היו""ר נ ' מסאלחה",7738
"תמר גוז'נסקי ( חד""ש",7627
הליכוד ) : אדוני,7616
אי -- אמון בממשלה,7438
צבי הנדל ( האיחוד,7415
יושב -- ראש ועדת,7405
העבודה ) : אני,7401
מאיר שטרית ( הליכוד,7366
"של הקב "" ה",7259
חבר הכנסת נסים זאב,7092
רצוני לשאול : 1,7066
להביע אי -- אמון,7053
"מוחמד ברכה ( חד""ש",7049
המערך ) : אדוני,7001
גדעון סער ( הליכוד,6983
"חברי הכנסת , אנחנו",6954
עבד -- אלמאלכ דהאמשה,6703
"ראש , כנסת נכבדה",6700
רחבעם זאבי ( מולדת,6500
"נסים דהן ( ש""ס",6460
"אמרו חז "" ל",6412
ואחריו -- חבר הכנסת,6398
כבוד היושב -- ראש,6349
היו -- ד ראובן,6291
"דברי הרמב "" ם",6273
"הרב ז "" ל",6260
ראובן ריבלין : תודה,6221
הליכוד ) : אני,6129
הדיבור לחבר -- הכנסת,6110
ריבלין : חבר הכנסת,6073
"החינוך , התרבות והספורט",5929
"רבותינו ז "" ל",5882
"ראש , רבותי חברי",5785
חיים רמון ( העבודה,5778
הצעת קבוצת חברי הכנסת,5697
"על הרמב "" ם",5625
"נקראה , נמסרה לפרוטוקול",5604
לדעת משרד מבקר המדינה,5563
פרוש ( יהדות התורה,5556
